,,,
Portfolio,,,
,,,
LCA(전과정평가),현재,,
,2018,중소기업 사업화지원사업 사업관리 및 과제수행 효율화 방안 마련 연구,한국환경산업기술원
,2018,산업환경규제관리사 교재개발 및 제작 용역,한국생산기술연구원
,2018,생활화학제품 안전정보 콜센터 운영,한국환경산업기술원
,2017,기업 ESH 통합관리를 위한 사업모델 분석,한국생산기술연구원
,2017,석면무해화 기술에 대한 경제성평가,한국지질자원연구원
,2016,CJ 대한통운 공급망 화학물질 관리 체계 구축 사업,산업통상자원부
,2016,중소기업 전기제품 안전품질 제고를 위한 안전설계 기준개발 및 설계 DB 구축,한국생산기술연구원
,2016,통합환경관리제도 대응을 위한 오염물질 배출목록 및 저감효율 표준화 방안 마련,"한국환경공단, 에코앤파트너스"
,2016,환경정책자금 직접대출제도 도입 사전연구,한국환경산업기술원
,2016,시험분석 운영체계 선진화 방안,한국환경산업기술원
